news_id,date,source,title,content,gold_event_type,gold_uncertainty_score,gold_impact_direction
400,2026-01-20,yerel,"Seçim belirsizliği piyasaları olumsuz etkiliyor, yatırımcı t...","Seçim belirsizliği piyasaları olumsuz etkiliyor, yatırımcı temkinli.",,,
1315,2025-10-27,yerel,"Seçim belirsizliği piyasaları olumsuz etkiliyor, yatırımcı t...","Seçim belirsizliği piyasaları olumsuz etkiliyor, yatırımcı temkinli.",,,
884,2025-12-24,yerel,"İhracat rekor kırdı, dış ticaret dengesi iyileşiyor....","İhracat rekor kırdı, dış ticaret dengesi iyileşiyor.",,,
1279,2025-09-26,yerel,"Sanayi üretimi yükseldi, büyüme rakamları olumlu, ekonomi yo...","Sanayi üretimi yükseldi, büyüme rakamları olumlu, ekonomi yolunda.",,,
746,2025-09-22,yerel,"İhracat rekor kırdı, dış ticaret dengesi iyileşiyor....","İhracat rekor kırdı, dış ticaret dengesi iyileşiyor.",,,
1572,2026-04-08,yerel,"Jeopolitik gerilimler sınırda tırmandı, savunma harcamaları ...","Jeopolitik gerilimler sınırda tırmandı, savunma harcamaları tartışılıyor.",,,
756,2025-09-29,yerel,"Seçim belirsizliği piyasaları olumsuz etkiliyor, yatırımcı t...","Seçim belirsizliği piyasaları olumsuz etkiliyor, yatırımcı temkinli.",,,
1090,2025-05-09,yerel,"Cari açık verileri beklentinin üzerinde geldi, TL üzerinde b...","Cari açık verileri beklentinin üzerinde geldi, TL üzerinde baskı artıyor.",,,
716,2025-08-27,yerel,"Jeopolitik gerilimler sınırda tırmandı, savunma harcamaları ...","Jeopolitik gerilimler sınırda tırmandı, savunma harcamaları tartışılıyor.",,,
498,2026-03-20,yerel,"Cari açık verileri beklentinin üzerinde geldi, TL üzerinde b...","Cari açık verileri beklentinin üzerinde geldi, TL üzerinde baskı artıyor.",,,
564,2025-05-08,yerel,"Cari açık verileri beklentinin üzerinde geldi, TL üzerinde b...","Cari açık verileri beklentinin üzerinde geldi, TL üzerinde baskı artıyor.",,,
124,2025-07-10,yerel,"Seçim belirsizliği piyasaları olumsuz etkiliyor, yatırımcı t...","Seçim belirsizliği piyasaları olumsuz etkiliyor, yatırımcı temkinli.",,,
42,2025-05-08,yerel,"Cari açık verileri beklentinin üzerinde geldi, TL üzerinde b...","Cari açık verileri beklentinin üzerinde geldi, TL üzerinde baskı artıyor.",,,
421,2026-01-30,yerel,"Bütçe açığı hedefin üzerine çıktı, mali disiplin sorgulanıyo...","Bütçe açığı hedefin üzerine çıktı, mali disiplin sorgulanıyor.",,,
847,2025-12-03,yerel,"Seçim belirsizliği piyasaları olumsuz etkiliyor, yatırımcı t...","Seçim belirsizliği piyasaları olumsuz etkiliyor, yatırımcı temkinli.",,,
218,2025-09-17,yerel,"İhracat rekor kırdı, dış ticaret dengesi iyileşiyor....","İhracat rekor kırdı, dış ticaret dengesi iyileşiyor.",,,
907,2026-01-09,yerel,"İhracat rekor kırdı, dış ticaret dengesi iyileşiyor....","İhracat rekor kırdı, dış ticaret dengesi iyileşiyor.",,,
888,2025-12-26,yerel,"Seçim belirsizliği piyasaları olumsuz etkiliyor, yatırımcı t...","Seçim belirsizliği piyasaları olumsuz etkiliyor, yatırımcı temkinli.",,,
488,2026-03-13,yerel,"Jeopolitik gerilimler sınırda tırmandı, savunma harcamaları ...","Jeopolitik gerilimler sınırda tırmandı, savunma harcamaları tartışılıyor.",,,
623,2025-06-20,yerel,"İhracat rekor kırdı, dış ticaret dengesi iyileşiyor....","İhracat rekor kırdı, dış ticaret dengesi iyileşiyor.",,,
262,2025-10-22,yerel,"Seçim belirsizliği piyasaları olumsuz etkiliyor, yatırımcı t...","Seçim belirsizliği piyasaları olumsuz etkiliyor, yatırımcı temkinli.",,,
238,2025-10-01,yerel,"Bütçe açığı hedefin üzerine çıktı, mali disiplin sorgulanıyo...","Bütçe açığı hedefin üzerine çıktı, mali disiplin sorgulanıyor.",,,
628,2025-06-25,yerel,"Jeopolitik gerilimler sınırda tırmandı, savunma harcamaları ...","Jeopolitik gerilimler sınırda tırmandı, savunma harcamaları tartışılıyor.",,,
1314,2025-10-24,yerel,"Seçim belirsizliği piyasaları olumsuz etkiliyor, yatırımcı t...","Seçim belirsizliği piyasaları olumsuz etkiliyor, yatırımcı temkinli.",,,
46,2025-05-12,yerel,"Cari açık verileri beklentinin üzerinde geldi, TL üzerinde b...","Cari açık verileri beklentinin üzerinde geldi, TL üzerinde baskı artıyor.",,,
